# Copyright (c) 2014-2023 Maltrail developers (https://github.com/stamparm/maltrail/)
# See the file 'LICENSE' for copying permission

# AS63949 Linode, LLC

103.29.68.0/22,linode
103.3.60.0/22,linode
104.200.16.0/21,linode
104.200.24.0/22,linode
104.200.24.0/24,linode
104.200.25.0/24,linode
104.200.26.0/24,linode
104.200.27.0/24,linode
104.200.28.0/22,linode
104.237.128.0/21,linode
104.237.136.0/21,linode
104.237.144.0/21,linode
104.237.152.0/21,linode
104.237.152.0/24,linode
104.237.153.0/24,linode
104.237.154.0/24,linode
104.237.155.0/24,linode
104.237.156.0/24,linode
104.237.157.0/24,linode
104.237.158.0/24,linode
104.237.159.0/24,linode
109.237.24.0/22,linode
109.74.192.0/20,linode
139.162.0.0/19,linode
139.162.128.0/19,linode
139.162.160.0/19,linode
139.162.192.0/19,linode
139.162.224.0/19,linode
139.162.32.0/19,linode
139.162.64.0/19,linode
139.162.96.0/19,linode
151.236.216.0/21,linode
162.216.16.0/22,linode
172.104.128.0/19,linode
172.104.160.0/19,linode
172.104.16.0/20,linode
172.104.202.0/23,linode
172.104.205.0/24,linode
172.104.206.0/24,linode
172.104.207.0/24,linode
172.104.208.0/20,linode
172.104.220.0/24,linode
172.104.224.0/19,linode
172.104.32.0/19,linode
172.104.4.0/22,linode
172.104.64.0/19,linode
172.104.8.0/21,linode
172.104.96.0/19,linode
172.105.0.0/19,linode
172.105.112.0/20,linode
172.105.134.0/23,linode
172.105.144.0/23,linode
172.105.147.0/24,linode
172.105.148.0/22,linode
172.105.152.0/21,linode
172.105.160.0/19,linode
172.105.192.0/19,linode
172.105.224.0/20,linode
172.105.240.0/22,linode
172.105.244.0/22,linode
172.105.248.0/22,linode
172.105.252.0/23,linode
172.105.254.0/23,linode
172.105.32.0/19,linode
172.105.64.0/19,linode
172.105.96.0/20,linode
173.230.128.0/20,linode
173.230.144.0/20,linode
173.230.144.0/24,linode
173.230.145.0/24,linode
173.230.146.0/24,linode
173.230.147.0/24,linode
173.230.148.0/24,linode
173.230.149.0/24,linode
173.230.150.0/24,linode
173.230.151.0/24,linode
173.230.152.0/24,linode
173.230.153.0/24,linode
173.230.154.0/24,linode
173.230.155.0/24,linode
173.230.156.0/24,linode
173.230.157.0/24,linode
173.230.158.0/24,linode
173.255.192.0/20,linode
173.255.208.0/20,linode
173.255.208.0/24,linode
173.255.209.0/24,linode
173.255.210.0/24,linode
173.255.211.0/24,linode
173.255.212.0/24,linode
173.255.213.0/24,linode
173.255.214.0/24,linode
173.255.215.0/24,linode
173.255.216.0/24,linode
173.255.217.0/24,linode
173.255.218.0/24,linode
